path	cell	dataType	antibody	view	replicate	type	lab	hub
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878GabpPcr2xUniPk.narrowPeak.gz	GM12878	ChipSeq	GABP	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Ikzf1iknuclaUniPk.narrowPeak.gz	GM12878	ChipSeq	IKZF1_(IkN)_(UCLA)	Peaks		narrowPeak	USC	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Irf4sc6059Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	IRF4_(SC-6059)	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878JundUniPk.narrowPeak.gz	GM12878	ChipSeq	JunD	Peaks		narrowPeak	Yale	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878MaxIggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	Max	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Mazab85725IggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	MAZ_(ab85725)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Mef2aPcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	MEF2A	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Mef2csc13268V0416101UniPk.narrowPeak.gz	GM12878	ChipSeq	MEF2C_(SC-13268)	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Mta3sc81325V0422111UniPk.narrowPeak.gz	GM12878	ChipSeq	MTA3_(SC-81325)	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Mxi1IggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	Mxi1_(AF4185)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsUtaGm12878CmycUniPk.narrowPeak.gz	GM12878	ChipSeq	c-Myc	Peaks		narrowPeak	UT-A	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Nfatc1sc17834V0422111UniPk.narrowPeak.gz	GM12878	ChipSeq	NFATC1_(SC-17834)	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk.narrowPeak.gz	GM12878	ChipSeq	NF-E2_(SC-22827)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Nficsc81335V0422111UniPk.narrowPeak.gz	GM12878	ChipSeq	NFIC_(SC-81335)	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878NfyaIggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	NF-YA	Peaks		narrowPeak	Harvard	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878NfybIggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	NF-YB	Peaks		narrowPeak	Harvard	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Tr4UniPk.narrowPeak.gz	GM12878	ChipSeq	TR4	Peaks		narrowPeak	USC	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Nrf1IggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	Nrf1	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Pax5c20Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	PAX5-C20	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Pax5n19Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	PAX5-N19	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Pbx3Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	Pbx3	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Pmlsc71910V0422111UniPk.narrowPeak.gz	GM12878	ChipSeq	PML_(SC-71910)	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Pol24h8Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	Pol2-4H8	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Pol2Pcr2xUniPk.narrowPeak.gz	GM12878	ChipSeq	Pol2	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Pol2IggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	Pol2	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsUtaGm12878Pol2UniPk.narrowPeak.gz	GM12878	ChipSeq	Pol2	Peaks		narrowPeak	UT-A	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Pol2UniPk.narrowPeak.gz	GM12878	ChipSeq	Pol2	Peaks		narrowPeak	Yale	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Pol2s2IggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	Pol2(phosphoS2)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Pol3UniPk.narrowPeak.gz	GM12878	ChipSeq	Pol3	Peaks		narrowPeak	Yale	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Pou2f2Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	POU2F2	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Rad21V0416101UniPk.narrowPeak.gz	GM12878	ChipSeq	Rad21	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Rad21IggrabUniPk.narrowPeak.gz	GM12878	ChipSeq	Rad21	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Corestsc30189IggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	COREST_(sc-30189)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878NfkbTnfaIggrabUniPk.narrowPeak.gz	GM12878	ChipSeq	NFKB	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878NrsfPcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	NRSF	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Rfx5200401194IggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	RFX5_(200-401-194)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Runx3sc101553V0422111UniPk.narrowPeak.gz	GM12878	ChipSeq	RUNX3_(SC-101553)	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878RxraPcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	RXRA	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Sin3anb6001263IggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	SIN3A_(NB600-1263)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Six5Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	SIX5	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Smc3ab9263IggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	SMC3_(ab9263)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	SP1	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Pu1Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	PU.1	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878SrfPcr2xUniPk.narrowPeak.gz	GM12878	ChipSeq	SRF	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Stat1UniPk.narrowPeak.gz	GM12878	ChipSeq	STAT1	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Stat3IggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	STAT3	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Stat5asc74442V0422111UniPk.narrowPeak.gz	GM12878	ChipSeq	STAT5A_(SC-74442)	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Taf1Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	TAF1	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Tblr1ab24550IggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	TBLR1_(ab24550)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878TbpIggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	TBP	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Tcf12Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	TCF12	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Tcf3Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	TCF3_(SC-349)	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk.narrowPeak.gz	GM12878	ChipSeq	USF-1	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Usf2IggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	USF2	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878WhipIggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	WHIP	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Yy1sc281Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	YY1_(SC-281)	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Yy1UniPk.narrowPeak.gz	GM12878	ChipSeq	YY1	Peaks		narrowPeak	USC	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Zbtb33Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	ZBTB33	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Zeb1sc25388V0416102UniPk.narrowPeak.gz	GM12878	ChipSeq	ZEB1_(SC-25388)	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Znf143166181apUniPk.narrowPeak.gz	GM12878	ChipSeq	Znf143_(16618-1-AP)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Znf274UniPk.narrowPeak.gz	GM12878	ChipSeq	ZNF274	Peaks		narrowPeak	USC	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Zzz3UniPk.narrowPeak.gz	GM12878	ChipSeq	ZZZ3	Peaks		narrowPeak	Harvard	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsBroadHmecCtcfUniPk.narrowPeak.gz	HMEC	ChipSeq	CTCF	Peaks		narrowPeak	Broad	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsBroadHmecEzh239875UniPk.narrowPeak.gz	HMEC	ChipSeq	EZH2_(39875)	Peaks		narrowPeak	Broad	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk.narrowPeak.gz	IMR90	ChipSeq	CEBPB	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhImr90CtcfbIggrabUniPk.narrowPeak.gz	IMR90	ChipSeq	CTCF_(SC-15914)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk.narrowPeak.gz	IMR90	ChipSeq	MafK_(ab50322)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhImr90Pol2IggrabUniPk.narrowPeak.gz	IMR90	ChipSeq	Pol2	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhImr90Rad21IggrabUniPk.narrowPeak.gz	IMR90	ChipSeq	Rad21	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhK562Arid3asc8821IggrabUniPk.narrowPeak.gz	K562	ChipSeq	ARID3A_(sc-8821)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhK562Atf106325UniPk.narrowPeak.gz	K562	ChipSeq	ATF1_(06-325)	Peaks		narrowPeak	Harvard	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk.narrowPeak.gz	K562	ChipSeq	ATF3	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhK562Atf3UniPk.narrowPeak.gz	K562	ChipSeq	ATF3	Peaks		narrowPeak	Harvard	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhK562Bach1sc14700IggrabUniPk.narrowPeak.gz	K562	ChipSeq	Bach1_(sc-14700)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibK562Bcl3Pcr1xUniPk.narrowPeak.gz	K562	ChipSeq	BCL3	Peaks		narrowPeak	HudsonAlpha	Data
